WKT,"name","abbrev","ne_id"
"POINT (-2.3716014405912 36.8477672709643)","Almeria","LEI","1159118657"
"POINT (-0.473474930771676 39.4914597884489)","Valencia","VLC","1159118675"
"POINT (20.3351522954898 67.8256066056432)","Kiruna_Airport","KRN","1159118693"
"POINT (16.2339407695814 58.5833805017541)","Norrköping Airport","NRK","1159118709"
"POINT (107.575611852209 -6.90042408353409)","Husein Sastranegara Int'l","BDO","1159118727"
"POINT (-60.7800787216586 -32.9162269743812)","Rosario – Islas Malvinas Int'l","ROS","1159118745"
"POINT (-35.7924951215833 -9.51494118540116)","Maceio/Zumbi dos Palmares Int'l","MCZ","1159118763"
"POINT (34.3901189267288 27.9804044199168)","Sharm el-Sheikh Int'l","SSH","1159118779"
"POINT (34.7758378996779 29.5944990568019)","Taba Int'l","TCP","1159118797"
"POINT (77.960909176509 27.15772773475)","Agra","AGR","1159118821"
"POINT (73.2262889533239 22.3361640021171)","Vadodara","BDQ","1159118843"
"POINT (47.1565835165639 34.3464167739108)","Shahid Ashrafi Esfahani","KSH","1159118869"
"POINT (20.2680398018516 32.0872774606553)","Benina Int'l","BEN","1159118875"
"POINT (50.1477245727844 26.2703680854768)","King Abdulaziz AB","DHA","1159118895"
"POINT (-57.9840821176492 -31.4373883387798)","Nueva Hespérides Int'l","STY","1159118917"
"POINT (63.307354423875 45.9635739403124)","Baikonur Cosmodrome","BAIK","1159118931"
"POINT (-80.6369680911892 28.5163704772027)","Kennedy Space Center","KSC","1159118961"
"POINT (-52.7684296893452 5.23941001258035)","Centre Spatial Guyanais","CSG","1159118977"
"POINT (-70.0076228563496 12.5034643630297)","Queen Beatrix Int'l","AUA","1159118987"
"POINT (43.1497127859956 11.5521018230172)","Djibouti-Ambouli Int'l","JIB","1159119005"
"POINT (-70.178635395533 -20.5478400878309)","Diego Aracena Int'l","IQQ","1159119023"
"POINT (29.3095991423889 40.9043003553957)","Sabiha Gökçen Havaalani","SAW","1159119041"
"POINT (162.957041225076 5.3520098571828)","Kosrae Island","KSA","1159119061"
"POINT (179.19544202302 -8.52485415059424)","Funafuti Int'l","FUN","1159119077"
"POINT (79.0537976421986 21.0899317630087)","Dr. Babasaheb Ambedkar Int'l","NAG","1159119091"
"POINT (98.3060384900559 8.10768475952735)","Phuket Int'l","HKT","1159119115"
"POINT (177.451151198059 -17.7529129479792)","Nadi Int'l","NAN","1159119125"
"POINT (-102.314093740058 21.7013390329207)","Lic. Jesús Terán Peredo Int'l","AGU","1159119145"
"POINT (8.12314535436409 44.0458773598158)","Albenga","ALL","1159119157"
"POINT (35.989707162193 31.7226621600432)","Queen Alia Int'l","AMM","1159119169"
"POINT (-70.3357301410959 -18.3492061639579)","Chacalluta Int'l","ARI","1159119187"
"POINT (-13.0511704323315 20.4982706101565)","Atar Int'l","ATR","1159119205"
"POINT (-74.776555978265 10.8866775959414)","Ernesto Cortissoz Int'l","BAQ","1159119223"
"POINT (-71.1614300869763 -41.1459976958105)","Teniente Luis Candelaria Int'l","BRC","1159119237"
"POINT (-5.06894222275311 7.73610495555032)","Bouaké","BYK","1159119257"
"POINT (-88.3082064033075 17.5360686575521)","Philip S. W. Goldson Int'l","BZE","1159119267"
"POINT (-97.5022678710298 27.7744560700823)","Corpus Christi Int'l","CRP","1159119285"
"POINT (-68.9568788072761 12.1848346052019)","Hato Int'l","CUR","1159119303"
"POINT (-71.9436641449722 -13.5382186992639)","Velazco Astete Int'l","CUZ","1159119321"
"POINT (39.2074715039165 -6.86672004249119)","Julius Nyerere Int'l","DAR","1159119341"
"POINT (-83.0039681417733 42.4090938431907)","Detroit City","DET","1159119359"
"POINT (125.524854209182 -8.54931157414564)","Presidente Nicolau Lobato Int'l","DIL","1159119377"
"POINT (37.9002531289452 55.4141528223023)","Moscow Domodedovo Int'l","DME","1159119395"
"POINT (170.200027 -45.923431)","Dunedin Int'l","DUD","1159119413"
"POINT (45.2817864197899 -12.8049474381643)","Dzaoudzi Pamanzi Int'l","DZA","1159119431"
"POINT (-106.395714679366 31.7990860272589)","El Paso Int'l","ELP","1159119449"
"POINT (44.4000630536938 40.1523679451884)","Zvartnots Int'l","EVN","1159119467"
"POINT (-97.3551348561587 32.8207529047972)","Fort Worth Meacham Field","FTW","1159119485"
"POINT (-71.1461337448876 21.4421237439063)","JAGS McCartney Int'l","GDT","1159119503"
"POINT (-94.8554013876264 29.2671239212096)","Scholes Int'l","GLS","1159119521"
"POINT (29.2400534952228 -1.65831795002069)","Goma Int'l","GOM","1159119539"
"POINT (13.3724309377878 9.33068867678854)","Garoua Int'l","GOU","1159119557"
"POINT (144.805850357093 13.4926462359465)","Antonio B. Won Pat Int'l","GUM","1159119575"
"POINT (-87.4083596247406 41.6177930015166)","Gary/Chicago Int'l","GYY","1159119593"
"POINT (43.2745612179616 -11.5366393829127)","Prince Said Ibrahim Int'l","HAH","1159119611"
"POINT (147.505996190408 -42.8376083694822)","Hobart Int'l","HBA","1159119629"
"POINT (160.045855129925 -9.42757566400146)","Honiara Int'l","HIR","1159119647"
"POINT (30.4451305182104 50.412808165985)","Kiev Zhuliany Int'l","IEV","1159119661"
"POINT (104.355859748002 52.2728893882244)","Irkutsk S.E.","IKT","1159119677"
"POINT (-86.2734003650885 39.7302043703969)","Indianapolis Int'l","IND","1159119691"
"POINT (166.91613965882 -0.545037226856384)","Nauru Int'l","INU","1159119715"
"POINT (-109.43006441001 -27.1587738388538)","Mataveri Int'l","IPC","1159119731"
"POINT (-65.0937665458812 -24.3861010775846)","Gob. Horacio Guzman Int'l","JUJ","1159119751"
"POINT (115.911979918602 28.8624891200666)","Nanchang Changbei Int'l","KHN","1159119767"
"POINT (102.928522759265 25.1012055318456)","Kunming Changshui Int'l","KMG","1159119791"
"POINT (-1.65983106734746 53.8690819474434)","Leeds Bradford","LBA","1159119807"
"POINT (9.41022337820712 0.457139229503759)","Libreville Leon M'ba Int'l","LBV","1159119827"
"POINT (1.25093205640014 6.16687362722297)","Lomé Tokoin","LFW","1159119841"
"POINT (23.9461269598944 49.8178506050005)","Lviv Danylo Halytskyi Int'l","LWO","1159119861"
